,MNI_X,MNI_Y,MNI_Z
0,-15.1435920336804,-14.083570425612098,-7.38450140551172
1,-15.0502679655458,-15.797848843617802,-6.19726574549572
3,-13.245183413211802,-13.6664808407269,-6.94203243989326
5,-13.245183413211802,-13.6664808407269,-6.94203243989326
16,-15.84614348,-16.20438464,-6.606657508
23,-14.85756588,-19.21852421,-7.984475265
54,-11.3169874699366,-16.402930795241698,-7.93071929036533
60,-9.24385187371605,-15.3567268721467,-10.6362620100977
67,-12.5365205076864,-17.8827474168353,-8.77712737298137
80,-13.7987716323243,-13.0827441424011,-8.51360098863269
87,-12.4885958867436,-16.1932468592455,-10.5981651736694
102,-14.9369511252424,-17.2898793269232,-6.16415100656912
108,-14.0181578868802,-15.2766659768952,-8.1396501830917
109,-14.2013022598999,-17.1175566402352,-6.73162515228369
110,-11.966998912934,-14.8423080862989,-7.28745976337137
113,-10.9860459495354,-16.324084291016,-9.53015806035444
115,-13.4331252551124,-15.0950850446326,-7.00458704969183
132,-11.5999797712483,-18.90623193427,-9.25507848393232
148,-14.436671403202698,-13.3685764048006,-7.341944763288749
150,-14.4217141472808,-15.2875470017129,-6.24895302240869
157,-12.4777189217284,-13.557575498694,-6.7952697377902105
182,-14.6366888570773,-15.878995551371698,-6.278771893114361
185,-12.405991876951,-13.7380703625086,-6.776150451049629
188,-11.2853796937349,-15.8113432008421,-2.91468119372184
197,-13.228696412401302,-16.9518725830251,-8.52705760142227
202,-12.531485163399802,-13.0272119407028,-7.74186575901741
204,-12.185466018499,-13.7276054934755,-8.998178308918721
